ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10212,20,66.99,14,1339.8,16-01-2019,1083,Shipped,Accessories,77,S18_1889,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10225,47,64.68,5,3039.96,22-02-2019,1047,Shipped,Accessories,77,S18_1889,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Medium
10239,46,73.92,4,3400.32,12-04-2019,999,Shipped,Accessories,77,S18_1889,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Medium
10253,23,83.93,9,1930.39,01-06-2019,950,Cancelled,Accessories,77,S18_1889,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small
10266,33,74.69,10,2464.77,06-07-2019,916,Shipped,Accessories,77,S18_1889,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small
10278,29,90.86,10,2634.94,06-08-2019,886,Shipped,Accessories,77,S18_1889,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Small
10287,44,82.39,8,3625.16,30-08-2019,863,Shipped,Accessories,77,S18_1889,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Medium
10300,41,92.4,1,3788.4,04-10-2018,1194,Shipped,Accessories,77,S18_1889,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,Keitel,Roland,Medium
10310,20,91.63,6,1832.6,16-10-2019,818,Shipped,Accessories,77,S18_1889,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany,Pfalzheim,Henriette,Small
10321,37,78.54,14,2905.98,04-11-2019,800,Shipped,Accessories,77,S18_1889,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small
10329,29,101.89,9,2954.81,15-11-2019,790,Shipped,Accessories,77,S18_1889,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small
10342,55,65.45,1,3599.75,24-11-2019,782,Shipped,Accessories,77,S18_1889,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium
10363,22,167.57,7,3686.54,06-01-2020,740,Shipped,Accessories,77,S18_1889,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Medium
10377,31,67.76,4,2100.56,09-02-2020,707,Shipped,Accessories,77,S18_1889,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small
10389,49,79.22,3,3881.78,03-03-2020,685,Shipped,Accessories,77,S18_1889,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium
10405,61,73.92,4,4509.12,14-04-2020,644,Shipped,Accessories,77,S18_1889,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,67000,France,Citeaux,Frederique,Medium
10419,39,83.93,9,3273.27,17-05-2020,612,Shipped,Accessories,77,S18_1889,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium
10109,38,116.65,3,4432.7,10-03-2018,1412,Shipped,Accessories,142,S18_1984,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Medium
10122,31,132.29,1,4100.99,08-05-2018,1354,Shipped,Accessories,142,S18_1984,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Medium
10136,36,146.52,1,5274.72,04-07-2018,1298,Shipped,Accessories,142,S18_1984,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Medium
10148,25,169.28,12,4232,11-09-2018,1230,Shipped,Accessories,142,S18_1984,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium
10161,48,128.03,11,6145.44,17-10-2018,1195,Shipped,Accessories,142,S18_1984,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Medium
10171,35,133.72,1,4680.2,05-11-2018,1177,Shipped,Accessories,142,S18_1984,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium
10181,21,156.48,5,3286.08,12-11-2018,1171,Shipped,Accessories,142,S18_1984,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium
10192,47,157.9,10,7421.3,20-11-2018,1164,Shipped,Accessories,142,S18_1984,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Large
10204,38,169.28,16,6432.64,02-12-2018,1153,Shipped,Accessories,142,S18_1984,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Medium
10212,41,118.07,9,4840.87,16-01-2019,1109,Shipped,Accessories,142,S18_1984,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10226,24,162.17,7,3892.08,26-02-2019,1069,Shipped,Accessories,142,S18_1984,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,USA,Thompson,Valarie,Medium
10240,37,149.36,2,5526.32,13-04-2019,1024,Shipped,Accessories,142,S18_1984,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium
10253,33,135.14,4,4459.62,01-06-2019,976,Cancelled,Accessories,142,S18_1984,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Medium
10266,49,126.6,5,6203.4,06-07-2019,942,Shipped,Accessories,142,S18_1984,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Medium
10278,29,129.45,5,3754.05,06-08-2019,912,Shipped,Accessories,142,S18_1984,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Medium
10287,24,146.52,3,3516.48,30-08-2019,889,Shipped,Accessories,142,S18_1984,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Medium
10301,47,159.32,7,7488.04,05-10-2018,1219,Shipped,Accessories,142,S18_1984,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway,Klaeboe,Jan,Large
10310,24,143.67,1,3448.08,16-10-2019,844,Shipped,Accessories,142,S18_1984,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany,Pfalzheim,Henriette,Medium
10321,25,149.36,9,3734,04-11-2019,826,Shipped,Accessories,142,S18_1984,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Medium
10331,30,32.47,8,974.1,17-11-2019,814,Shipped,Accessories,142,S18_1984,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small
10342,22,143.67,3,3160.74,24-11-2019,808,Shipped,Accessories,142,S18_1984,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium
10356,27,64.69,2,1746.63,09-12-2019,794,Shipped,Accessories,142,S18_1984,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Small
10366,34,123.76,3,4207.84,10-01-2020,763,Shipped,Accessories,142,S18_1984,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Cartrain,Pascale,Medium
10377,36,120.91,6,4352.76,09-02-2020,734,Shipped,Accessories,142,S18_1984,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium
10390,34,43.05,15,1463.7,04-03-2020,711,Shipped,Accessories,142,S18_1984,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10406,48,149.36,2,7169.28,15-04-2020,670,Disputed,Accessories,142,S18_1984,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Large
10419,34,135.14,4,4594.76,17-05-2020,639,Shipped,Accessories,142,S18_1984,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium
10104,24,144.08,8,3457.92,31-01-2018,1477,Shipped,Accessories,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10115,46,160.46,4,7381.16,04-04-2018,1415,Shipped,Accessories,163,S18_2238,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Large
10127,45,158.82,10,7146.9,03-06-2018,1356,Shipped,Accessories,163,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Large
10141,39,152.27,4,5938.53,01-08-2018,1298,Shipped,Accessories,163,S18_2238,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Medium
10151,43,165.37,2,7110.91,21-09-2018,1248,Shipped,Accessories,163,S18_2238,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Large
10165,29,173.55,11,5032.95,22-10-2018,1218,Shipped,Accessories,163,S18_2238,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium
10176,20,183.38,10,3667.6,06-11-2018,1204,Shipped,Accessories,163,S18_2238,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Medium
10184,46,160.46,5,7381.16,14-11-2018,1197,Shipped,Accessories,163,S18_2238,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain,Roel,Jose Pedro,Large
10195,27,189.93,5,5128.11,25-11-2018,1187,Shipped,Accessories,163,S18_2238,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium
10207,44,160.46,6,7060.24,09-12-2018,1174,Shipped,Accessories,163,S18_2238,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,51003,USA,Franco,Valarie,Large
10219,43,196.48,1,8448.64,10-02-2019,1112,Shipped,Accessories,163,S18_2238,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,94217,USA,Taylor,Sue,Large
10230,49,148.99,8,7300.51,15-03-2019,1080,Shipped,Accessories,163,S18_2238,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,Keitel,Roland,Large
10246,40,163.73,4,6549.2,05-05-2019,1030,Shipped,Accessories,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10259,30,189.93,3,5697.9,15-06-2019,990,Shipped,Accessories,163,S18_2238,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Medium
10271,50,183.38,4,9169,20-07-2019,956,Shipped,Accessories,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Large
10282,23,140.81,13,3238.63,20-08-2019,926,Shipped,Accessories,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10292,26,175.19,7,4554.94,08-09-2019,908,Shipped,Accessories,163,S18_2238,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10305,27,145.72,4,3934.44,13-10-2019,874,Shipped,Accessories,163,S18_2238,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium
10314,42,137.53,13,5776.26,22-10-2019,866,Shipped,Accessories,163,S18_2238,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Medium
10324,47,153.35,8,7207.45,05-11-2019,853,Shipped,Accessories,163,S18_2238,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Large
10336,49,152.26,6,7460.74,20-11-2019,839,Shipped,Accessories,163,S18_2238,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France,Bertrand,Marie,Large
10349,38,176.83,8,6719.54,01-12-2019,829,Shipped,Accessories,163,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Medium
10358,20,121.4,10,2428,10-12-2019,821,Shipped,Accessories,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10371,25,104.09,7,2602.25,23-01-2020,778,Shipped,Accessories,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10382,25,88,5,2200,17-02-2020,754,Shipped,Accessories,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10412,41,163.73,4,6712.93,03-05-2020,679,Shipped,Accessories,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10425,28,189.93,3,5318.04,31-05-2020,652,In Process,Accessories,163,S18_2238,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium
10104,29,130.09,12,3772.61,31-01-2018,1525,Shipped,Infotainment Systems,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10114,39,106.78,3,4164.42,01-04-2018,1466,Shipped,Infotainment Systems,122,S18_2319,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France,Bertrand,Marie,Medium
10127,45,139.91,14,6295.95,03-06-2018,1404,Shipped,Infotainment Systems,122,S18_2319,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Medium
10141,47,133.78,8,6287.66,01-08-2018,1346,Shipped,Infotainment Systems,122,S18_2319,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Medium
10151,49,110.46,6,5412.54,21-09-2018,1296,Shipped,Infotainment Systems,122,S18_2319,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Medium
10165,46,130.09,15,5984.14,22-10-2018,1266,Shipped,Infotainment Systems,122,S18_2319,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium
10175,48,122.73,4,5891.04,06-11-2018,1252,Shipped,Infotainment Systems,122,S18_2319,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium
10184,46,130.09,9,5984.14,14-11-2018,1245,Shipped,Infotainment Systems,122,S18_2319,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain,Roel,Jose Pedro,Medium
10195,35,103.09,9,3608.15,25-11-2018,1235,Shipped,Infotainment Systems,122,S18_2319,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium
10207,43,133.78,10,5752.54,09-12-2018,1222,Shipped,Infotainment Systems,122,S18_2319,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,51003,USA,Franco,Valarie,Medium
10229,26,144.82,4,3765.32,11-03-2019,1131,Shipped,Infotainment Systems,122,S18_2319,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10246,22,98.18,8,2159.96,05-05-2019,1077,Shipped,Infotainment Systems,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10259,34,99.41,7,3379.94,15-06-2019,1037,Shipped,Infotainment Systems,122,S18_2319,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Medium
10271,50,101.87,8,5093.5,20-07-2019,1003,Shipped,Infotainment Systems,122,S18_2319,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10281,48,120.28,4,5773.44,19-08-2019,974,Shipped,Infotainment Systems,122,S18_2319,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium
10292,41,110.46,11,4528.86,08-09-2019,955,Shipped,Infotainment Systems,122,S18_2319,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10305,36,133.78,8,4816.08,13-10-2019,921,Shipped,Infotainment Systems,122,S18_2319,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium
10313,29,117.82,2,3416.78,22-10-2019,913,Shipped,Infotainment Systems,122,S18_2319,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Medium
10324,33,37.48,10,1236.84,05-11-2019,900,Shipped,Infotainment Systems,122,S18_2319,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10334,46,126.41,6,5814.86,19-11-2019,887,On Hold,Infotainment Systems,122,S18_2319,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Medium
10349,38,137.46,7,5223.48,01-12-2019,876,Shipped,Infotainment Systems,122,S18_2319,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Medium
10358,20,36.42,11,728.4,10-12-2019,868,Shipped,Infotainment Systems,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10370,22,179.5,5,3949,20-01-2020,828,Shipped,Infotainment Systems,122,S18_2319,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium
10383,27,142.37,11,3843.99,22-02-2020,796,Shipped,Infotainment Systems,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10412,56,98.18,8,5498.08,03-05-2020,726,Shipped,Infotainment Systems,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10425,38,99.41,7,3777.58,31-05-2020,699,In Process,Infotainment Systems,122,S18_2319,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium
10103,22,54.09,2,1189.98,29-01-2018,1577,Shipped,Infotainment Systems,60,S18_2432,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10114,45,68.67,6,3090.15,01-04-2018,1516,Shipped,Infotainment Systems,60,S18_2432,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France,Bertrand,Marie,Medium
10126,43,65.02,2,2795.86,28-05-2018,1460,Shipped,Infotainment Systems,60,S18_2432,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Small
10140,46,61.99,2,2851.54,24-07-2018,1404,Shipped,Infotainment Systems,60,S18_2432,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Small
10151,39,69.28,9,2701.92,21-09-2018,1346,Shipped,Infotainment Systems,60,S18_2432,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Small
10165,31,71.1,18,2204.1,22-10-2018,1316,Shipped,Infotainment Systems,60,S18_2432,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Small
10175,41,69.28,7,2840.48,06-11-2018,1302,Shipped,Infotainment Systems,60,S18_2432,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Small
10184,44,60.16,12,2647.04,14-11-2018,1295,Shipped,Infotainment Systems,60,S18_2432,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain,Roel,Jose Pedro,Small
10194,45,70.49,2,3172.05,25-11-2018,1285,Shipped,Infotainment Systems,60,S18_2432,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Medium
10207,37,69.89,13,2585.93,09-12-2018,1272,Shipped,Infotainment Systems,60,S18_2432,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,51003,USA,Franco,Valarie,Small
10217,35,61.38,2,2148.3,04-02-2019,1216,Shipped,Infotainment Systems,60,S18_2432,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Small
10229,28,59.55,7,1667.4,11-03-2019,1182,Shipped,Infotainment Systems,60,S18_2432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10246,30,61.99,11,1859.7,05-05-2019,1128,Shipped,Infotainment Systems,60,S18_2432,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10259,30,49.22,10,1476.6,15-06-2019,1088,Shipped,Infotainment Systems,60,S18_2432,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Small
10271,25,69.28,11,1732,20-07-2019,1054,Shipped,Infotainment Systems,60,S18_2432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10281,29,57.73,7,1674.17,19-08-2019,1025,Shipped,Infotainment Systems,60,S18_2432,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Small
10291,26,57.73,2,1500.98,08-09-2019,1006,Shipped,Infotainment Systems,60,S18_2432,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Small
10305,41,53.48,11,2192.68,13-10-2019,972,Shipped,Infotainment Systems,60,S18_2432,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Small
10313,34,52.87,5,1797.58,22-10-2019,964,Shipped,Infotainment Systems,60,S18_2432,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Small
10322,35,61.21,11,2142.35,04-11-2019,952,Shipped,Infotainment Systems,60,S18_2432,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Small
10334,34,61.38,1,2086.92,19-11-2019,938,On Hold,Infotainment Systems,60,S18_2432,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Small
10347,50,136.69,8,6834.5,29-11-2019,929,Shipped,Infotainment Systems,60,S18_2432,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium
10357,41,61.99,7,2541.59,10-12-2019,919,Shipped,Infotainment Systems,60,S18_2432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10370,22,96.86,7,2130.92,20-01-2020,879,Shipped,Infotainment Systems,60,S18_2432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small
10391,44,38.5,5,1694,09-03-2020,831,Shipped,Infotainment Systems,60,S18_2432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small
10412,47,61.99,11,2913.53,03-05-2020,777,Shipped,Infotainment Systems,60,S18_2432,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10425,19,49.22,10,935.18,31-05-2020,750,In Process,Infotainment Systems,60,S18_2432,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10106,34,90.39,2,3073.26,17-02-2018,1585,Shipped,Spare Parts,84,S18_2581,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10120,29,71.81,8,2082.49,29-04-2018,1515,Shipped,Spare Parts,84,S18_2581,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small
10133,49,69.27,3,3394.23,27-06-2018,1457,Shipped,Spare Parts,84,S18_2581,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10145,30,85.32,14,2559.6,25-08-2018,1399,Shipped,Spare Parts,84,S18_2581,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Small
10168,21,70.96,9,1490.16,28-10-2018,1336,Shipped,Spare Parts,84,S18_2581,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Small
10210,50,76.88,7,3844,12-01-2019,1261,Shipped,Spare Parts,84,S18_2581,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium
10223,47,100.53,9,4724.91,20-02-2019,1223,Shipped,Spare Parts,84,S18_2581,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium
10235,24,76.03,3,1824.72,02-04-2019,1183,Shipped,Spare Parts,84,S18_2581,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small
10250,27,98.84,4,2668.68,11-05-2019,1145,Shipped,Spare Parts,84,S18_2581,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Small
